profile_name,username,bio,location,website,join_date,followers_count,following_count,tweets_count,profile_image_url,tweet_id,text,created_at,lang,user_id_hashed,comment_count,retweet_count,like_count,is_reply,is_retweet,is_quote,urls,clean_text
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1978162241963802859,"I did a podcast with Jon Stewart who has always been a hero of mine. It was a lot of fun. He really wanted to understand how AI works. 
piped.video/watch?v=jrK3PsD3…",2025-10-14 18:13:00,en,fef80054a121f531,138,231,1544,False,False,False,[],"i did a podcast with jon stewart who has always been a hero of mine it was a lot of fun he really wanted to understand how ai works 
pipedvideowatchvjrk3psd3"
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1976698311277949229,"Some generous companies in Toronto are funding three lectures on AI safety by Owain Evans on Nov 10, 11, 12.
Tickets are $10 and are available at thehintonlectures.rsvpify.co…",2025-10-10 17:16:00,en,fef80054a121f531,61,85,646,False,False,False,[],"some generous companies in toronto are funding three lectures on ai safety by owain evans on nov 10 11 12
tickets are 10 and are available at thehintonlecturesrsvpifyco"
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1954736009335157124,"A major cut to the funding of the National Science Foundation would be very bad for the future of the US.
thehill.com/opinion/technolo…",2025-08-11 02:45:00,en,fef80054a121f531,128,93,671,False,False,False,[],"a major cut to the funding of the national science foundation would be very bad for the future of the us
thehillcomopiniontechnolo"
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1931667061412921855,"There is a book on Amazon called ""Modern AI Revolution"" by Geoffrey Hinton. This is a scam. It has nothing to do with me and I wish Amazon would remove it.",2025-06-08 10:58:00,en,fef80054a121f531,279,377,4607,False,False,False,[],there is a book on amazon called modern ai revolution by geoffrey hinton this is a scam it has nothing to do with me and i wish amazon would remove it
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1931392616077123921,"Congratulations to @Yoshua_Bengio on launching @LawZero_ — a research effort to advance safe-by-design AI, especially as frontier systems begin to exhibit signs of self-preservation and deceptive behaviour.",2025-06-07 16:47:00,en,fef80054a121f531,119,183,1646,False,False,False,[],congratulations to  on launching   a research effort to advance safebydesign ai especially as frontier systems begin to exhibit signs of selfpreservation and deceptive behaviour
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1916916200442912980,"AGI is the most important and potentially dangerous technology of our time. OpenAI was right that this technology merits strong structures and incentives to ensure it is developed safely, and is wrong now in attempting to change these structures and incentives.

We're urging the AGs to protect the public and stop this. NotForPrivateGain.org (2/2)",2025-04-28 18:03:00,en,fef80054a121f531,960,1838,9328,False,False,False,[],"agi is the most important and potentially dangerous technology of our time openai was right that this technology merits strong structures and incentives to ensure it is developed safely and is wrong now in attempting to change these structures and incentives

were urging the ags to protect the public and stop this notforprivategainorg 22"
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1916915980246389120,"I like OpenAI’s mission of 'ensure that artificial general intelligence benefits all of humanity”, and I’d like to stop them from completely gutting it.
I’ve signed on to a new letter to @AGRobBonta & @DE_DOJ asking them to halt the restructuring. (1/2)",2025-04-28 18:02:00,en,fef80054a121f531,470,923,7888,False,False,False,[],"i like openais mission of ensure that artificial general intelligence benefits all of humanity and id like to stop them from completely gutting it
ive signed on to a new letter to    asking them to halt the restructuring 12"
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1916912033280262458,"Researchgate sent me a fake paper called ""The AI Health Revolution: Personalizing Care through Intelligent Case-based Reasoning"" which claims to be by me and Yann LeCun. More than one third of the citations are to Shefiu Yusuf which may mean nothing.",2025-04-28 17:46:00,en,fef80054a121f531,59,112,1055,False,False,False,[],researchgate sent me a fake paper called the ai health revolution personalizing care through intelligent casebased reasoning which claims to be by me and yann lecun more than one third of the citations are to shefiu yusuf which may mean nothing
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1905323254127997385,I recently got a subscription to the Atlantic. Its is a great magazine.,2025-03-27 18:17:00,en,fef80054a121f531,398,203,3394,False,False,False,[],i recently got a subscription to the atlantic its is a great magazine
Geoffrey Hinton,geoffreyhinton,deep learning,,,,28,143,518100,https://nitter.net/pic/pbs.twimg.com%2Fprofile_images%2F1084213316963057664%2FfQGCUSt0_400x400.jpg,1896277592325714330,"I think Elon Musk should be expelled from the British Royal Society. Not because he peddles conspiracy theories and makes Nazi salutes, but because of the huge damage he is doing to scientific institutions in the US. Now let's see if he really believes in free speech.",2025-03-02 19:13:00,en,fef80054a121f531,2125,3424,24210,False,False,False,[],i think elon musk should be expelled from the british royal society not because he peddles conspiracy theories and makes nazi salutes but because of the huge damage he is doing to scientific institutions in the us now lets see if he really believes in free speech
